repositoryId,name,size,color
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,C#,4869106,#178600
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,Batchfile,3658294,#C1F12E
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,PowerShell,1943663,#012456
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,C++,1789167,#f34b7d
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,C,1579801,#555555
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,Roff,1354369,#ecdebe
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,Python,1004871,#3572A5
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,JavaScript,217401,#f1e05a
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,HTML,142897,#e34c26
MDEwOlJlcG9zaXRvcnkxMDAwNjA5MTI=,Others,718841,#000000
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,Batchfile,2347308,#C1F12E
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,C++,1718224,#f34b7d
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,C,266896,#555555
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,C#,103582,#178600
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,PowerShell,99465,#012456
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,HLSL,52592,#aace60
MDEwOlJlcG9zaXRvcnkxODQ0NTYyNTE=,Others,395199,#000000
MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=,JavaScript,21483,#f1e05a
MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=,HTML,21263,#e34c26
MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=,CSS,20246,#563d7c
MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=,Vue,15607,#41b883
MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=,Others,24612,#000000
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,JavaScript,1577967,#f1e05a
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,Shell,926937,#89e051
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,TypeScript,869005,#2b7489
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,HTML,845674,#e34c26
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,CSS,723653,#563d7c
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,Batchfile,648118,#C1F12E
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,Objective-C,614944,#438eff
MDEwOlJlcG9zaXRvcnkyMjE5ODE4OTE=,Makefile,577553,#427819
