repositoryId,isTop,label,unit,valueString,valueType,compareOptions
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,hparams/dropout,%,0.754,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,f1_score,,8.080,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,test_error,%,8.560,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,test_error,%,0.979,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,f1_score,,6.521,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,True,training_error,%,5.406,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,hparams/dropout,%,0.148,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,training_loss,,0.933,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,test_loss,,7.536,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,mean_squared_error,%,2.364,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,test_loss,,4.064,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,test_loss,,4.814,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,hparms/beta,,8.647,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjIyNDIxMDg=,False,hparams/optimizer,,ADAM,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,False,hparams/lr,,5.422,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,False,test_accuracy,%,7.480,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,True,hparms/beta,,0.572,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,False,hparms/beta,,5.842,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,True,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,False,mean_squared_error,%,9.608,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,True,training_error,%,0.801,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,False,test_loss,,1.858,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,False,hparams/batch_size,,5.950,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnk1MzA3Mjg1MA==,False,mean_squared_error,%,4.038,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMTMyNzQyMTI=,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMTMyNzQyMTI=,True,hparams/lr,,6.212,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMTMyNzQyMTI=,False,training_error,%,5.630,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMTMyNzQyMTI=,False,hparams/lr,,1.000,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMTMyNzQyMTI=,False,hparams/alpha,,5.376,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMTMyNzQyMTI=,False,training_error,%,5.059,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMTMyNzQyMTI=,False,hparams/batch_size,,1.325,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMTMyNzQyMTI=,False,hparams/batch_size,,3.490,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMTMyNzQyMTI=,True,test_accuracy,%,0.688,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMTMyNzQyMTI=,False,training_loss,,2.443,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTMzNDk3NTI=,False,test_error,%,1.154,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTMzNDk3NTI=,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxNTMzNDk3NTI=,False,test_error,%,7.424,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTMzNDk3NTI=,False,f1_score,,1.554,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTMzNDk3NTI=,False,hparams/dropout,%,2.818,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTMzNDk3NTI=,False,hparams/batch_size,,2.106,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTMzNDk3NTI=,False,test_error,%,3.429,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNTMzNDk3NTI=,True,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxNTMzNDk3NTI=,True,test_loss,,5.054,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNDQ2Njk0Nzk=,False,test_error,%,0.441,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxNDQ2Njk0Nzk=,False,hparams/dropout,%,3.336,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1NzI2NzY=,False,test_loss,,0.360,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1NzI2NzY=,False,hparms/beta,,3.692,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1NzI2NzY=,False,training_error,%,5.525,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1NzI2NzY=,False,mean_squared_error,%,4.298,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1NzI2NzY=,False,training_loss,,0.418,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1NzI2NzY=,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMDY1NzI2NzY=,False,training_error,%,8.990,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1NzI2NzY=,False,test_loss,,7.961,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjAxMjM5NzU=,False,hparams/lr,,8.108,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjAxMjM5NzU=,False,hparams/lr,,8.814,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjAxMjM5NzU=,False,training_loss,,0.248,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjAxMjM5NzU=,False,test_accuracy,%,7.366,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjAxMjM5NzU=,False,hparams/optimizer,,SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMjAxMjM5NzU=,False,hparms/beta,,7.824,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjAxMjM5NzU=,False,test_error,%,4.117,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjAxMjM5NzU=,False,test_loss,,6.699,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjAxMjM5NzU=,True,hparams/optimizer,,POWER_SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMjAxMjM5NzU=,False,hparams/dropout,%,8.107,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjAxMjM5NzU=,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnk2MDg3NTYxMQ==,True,hparams/alpha,,1.996,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDg3NTYxMQ==,False,f1_score,,9.185,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDg3NTYxMQ==,False,mean_error,%,3.497,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMyOTY0MDg=,True,hparams/alpha,,6.795,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMyOTY0MDg=,True,hparams/batch_size,,8.437,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMyOTY0MDg=,True,training_loss,,3.311,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMyOTY0MDg=,False,test_accuracy,%,0.276,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMyOTY0MDg=,False,hparams/alpha,,8.770,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjMyOTY0MDg=,True,mean_error,%,2.612,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDgzNzI2MTk=,False,hparms/beta,,9.403,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDgzNzI2MTk=,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMDgzNzI2MTk=,True,training_loss,,3.642,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDgzNzI2MTk=,True,hparams/optimizer,,ADAM,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMDgzNzI2MTk=,True,test_loss,,9.489,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDgzNzI2MTk=,False,f1_score,,9.208,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDgzNzI2MTk=,False,hparms/beta,,6.232,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDgzNzI2MTk=,False,mean_error,%,6.634,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDgzNzI2MTk=,False,hparams/dropout,%,1.246,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDgzNzI2MTk=,False,training_error,%,9.000,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MTI0ODMyOQ==,False,test_loss,,1.740,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MTI0ODMyOQ==,True,test_error,%,5.691,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MTI0ODMyOQ==,False,hparams/alpha,,4.061,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MTI0ODMyOQ==,False,test_accuracy,%,8.337,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDM2NjA3ODY=,False,hparms/beta,,3.352,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDM2NjA3ODY=,False,hparms/beta,,8.184,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDM2NjA3ODY=,False,hparams/lr,,7.511,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDM2NjA3ODY=,False,mean_error,%,6.728,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDM2NjA3ODY=,False,hparams/optimizer,,ADAM,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyMDM2NjA3ODY=,False,test_accuracy,%,8.066,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
